"TEV";"MHO";"MG05";"MG02";"MG58";"GADC041"
"2025";"01";"Ásotthalom közút";"Ausztria";"Belépő";1307
"2025";"01";"Ásotthalom közút";"Ausztria";"Kilépő";156
"2025";"01";"Ásotthalom közút";"Belgium";"Belépő";62
"2025";"01";"Ásotthalom közút";"Bosznia-Hercegovina";"Belépő";1
"2025";"01";"Ásotthalom közút";"Bulgária";"Belépő";421
"2025";"01";"Ásotthalom közút";"Bulgária";"Kilépő";53
"2025";"01";"Ásotthalom közút";"Csehország";"Belépő";154
"2025";"01";"Ásotthalom közút";"Csehország";"Kilépő";27
"2025";"01";"Ásotthalom közút";"Észak-Macedónia";"Belépő";11
"2025";"01";"Ásotthalom közút";"Franciaország";"Belépő";48
"2025";"01";"Ásotthalom közút";"Franciaország";"Kilépő";2
"2025";"01";"Ásotthalom közút";"Görögország";"Belépő";60
"2025";"01";"Ásotthalom közút";"Görögország";"Kilépő";26
"2025";"01";"Ásotthalom közút";"Hollandia";"Belépő";67
"2025";"01";"Ásotthalom közút";"Hollandia";"Kilépő";2
"2025";"01";"Ásotthalom közút";"Horvátország";"Belépő";795
"2025";"01";"Ásotthalom közút";"Horvátország";"Kilépő";246
"2025";"01";"Ásotthalom közút";"Indonézia";"Kilépő";2
"2025";"01";"Ásotthalom közút";"Irország";"Belépő";4
"2025";"01";"Ásotthalom közút";"Irország";"Kilépő";1
"2025";"01";"Ásotthalom közút";"Lengyelország";"Belépő";36
"2025";"01";"Ásotthalom közút";"Lengyelország";"Kilépő";5
"2025";"01";"Ásotthalom közút";"Lettország";"Belépő";1
"2025";"01";"Ásotthalom közút";"Litvánia";"Belépő";2
"2025";"01";"Ásotthalom közút";"Luxemburg";"Belépő";40
"2025";"01";"Ásotthalom közút";"Magyarország";"Belépő";11444
"2025";"01";"Ásotthalom közút";"Magyarország";"Kilépő";8106
"2025";"01";"Ásotthalom közút";"Németország";"Belépő";1091
"2025";"01";"Ásotthalom közút";"Németország";"Kilépő";39
"2025";"01";"Ásotthalom közút";"Norvégia";"Belépő";3
"2025";"01";"Ásotthalom közút";"Norvégia";"Kilépő";1
"2025";"01";"Ásotthalom közút";"Olaszország";"Belépő";25
"2025";"01";"Ásotthalom közút";"Olaszország";"Kilépő";27
"2025";"01";"Ásotthalom közút";"Portugália";"Belépő";1
"2025";"01";"Ásotthalom közút";"Románia";"Belépő";111
"2025";"01";"Ásotthalom közút";"Románia";"Kilépő";36
"2025";"01";"Ásotthalom közút";"Spanyolország";"Belépő";1
"2025";"01";"Ásotthalom közút";"Svájc";"Belépő";96
"2025";"01";"Ásotthalom közút";"Svájc";"Kilépő";3
"2025";"01";"Ásotthalom közút";"Svédország";"Belépő";87
"2025";"01";"Ásotthalom közút";"Svédország";"Kilépő";4
"2025";"01";"Ásotthalom közút";"Szerbia";"Belépő";15710
"2025";"01";"Ásotthalom közút";"Szerbia";"Kilépő";7911
"2025";"01";"Ásotthalom közút";"Szlovákia";"Belépő";253
"2025";"01";"Ásotthalom közút";"Szlovákia";"Kilépő";73
"2025";"01";"Ásotthalom közút";"Szlovénia";"Belépő";46
"2025";"01";"Ásotthalom közút";"Szlovénia";"Kilépő";9
"2025";"01";"Ásotthalom közút";"Törökország";"Belépő";4
"2025";"01";"Ásotthalom közút";"USA";"Kilépő";1
"2025";"01";"Bácsalmás közút";"Ausztria";"Belépő";1755
"2025";"01";"Bácsalmás közút";"Ausztria";"Kilépő";61
